date,growth_raw,inflation_raw
2002-01-31,,-1.0
2002-02-28,,0.0
2002-03-31,,-0.8
2002-04-30,,-1.3
2002-05-31,,-1.1
2002-06-30,,-0.8
2002-07-31,,-0.9
2002-08-31,,-0.7
2002-09-30,,-0.7
2002-10-31,,-0.8
2002-11-30,,-0.7
2002-12-31,,-0.4
2003-01-31,,0.4
2003-02-28,,0.2
2003-03-31,,0.9
2003-04-30,,1.0
2003-05-31,,0.7
2003-06-30,,0.3
2003-07-31,,0.5
2003-08-31,,0.9
2003-09-30,,1.1
2003-10-31,,1.8
2003-11-30,,3.0
2003-12-31,,3.2
2004-01-31,,3.2
2004-02-29,,2.1
2004-03-31,,3.0
2004-04-30,,3.8
2004-05-31,,4.4
2004-06-30,,5.0
2004-07-31,,5.3
2004-08-31,,5.3
2004-09-30,,5.2
2004-10-31,,4.3
2004-11-30,,2.8
2004-12-31,,2.4
2005-01-31,54.7,1.9
2005-02-28,54.5,3.9
2005-03-31,57.9,2.7
2005-04-30,56.7,1.8
2005-05-31,52.9,1.8
2005-06-30,51.7,1.6
2005-07-31,51.1,1.8
2005-08-31,52.6,1.3
2005-09-30,55.1,0.9
2005-10-31,54.1,1.2
2005-11-30,54.1,1.3
2005-12-31,54.3,1.6
2006-01-31,52.1,1.9
2006-02-28,52.1,0.9
2006-03-31,55.3,0.8
2006-04-30,58.1,1.2
2006-05-31,54.8,1.4
2006-06-30,54.1,1.5
2006-07-31,52.4,1.0
2006-08-31,53.1,1.3
2006-09-30,57.0,1.5
2006-10-31,54.7,1.4
2006-11-30,55.3,1.9
2006-12-31,54.8,2.8
2007-01-31,55.1,2.2
2007-02-28,53.1,2.7
2007-03-31,56.1,3.3
2007-04-30,58.6,3.0
2007-05-31,55.7,3.4
2007-06-30,54.5,4.4
2007-07-31,53.3,5.6
2007-08-31,54.0,6.5
2007-09-30,56.1,6.2
2007-10-31,53.2,6.5
2007-11-30,55.4,6.9
2007-12-31,55.3,6.5
2008-01-31,53.0,7.1
2008-02-29,53.4,8.7
2008-03-31,58.4,8.3
2008-04-30,59.2,8.5
2008-05-31,53.3,7.7
2008-06-30,52.0,7.1
2008-07-31,48.4,6.3
2008-08-31,48.4,4.9
2008-09-30,51.2,4.6
2008-10-31,44.6,4.0
2008-11-30,38.8,2.4
2008-12-31,41.2,1.2
2009-01-31,45.3,1.0
2009-02-28,49.0,-1.6
2009-03-31,52.4,-1.2
2009-04-30,53.5,-1.5
2009-05-31,53.1,-1.4
2009-06-30,53.2,-1.7
2009-07-31,53.3,-1.8
2009-08-31,54.0,-1.2
2009-09-30,54.3,-0.8
2009-10-31,55.2,-0.5
2009-11-30,55.2,0.6
2009-12-31,56.6,1.9
2010-01-31,55.8,1.5
2010-02-28,52.0,2.7
2010-03-31,55.1,2.4
2010-04-30,55.7,2.8
2010-05-31,53.9,3.1
2010-06-30,52.1,2.9
2010-07-31,51.2,3.3
2010-08-31,51.7,3.5
2010-09-30,53.8,3.6
2010-10-31,54.7,4.4
2010-11-30,55.2,5.1
2010-12-31,53.9,4.6
2011-01-31,52.9,4.9
2011-02-28,52.2,4.944
2011-03-31,53.4,5.383
2011-04-30,52.9,5.344
2011-05-31,52.0,5.515
2011-06-30,50.9,6.355
2011-07-31,50.7,6.451
2011-08-31,50.9,6.151
2011-09-30,51.2,6.067
2011-10-31,50.4,5.495
2011-11-30,49.0,4.225
2011-12-31,50.3,4.07
2012-01-31,50.5,4.5
2012-02-29,51.0,3.2
2012-03-31,53.1,3.6
2012-04-30,53.3,3.4
2012-05-31,50.4,3.0
2012-06-30,50.2,2.2
2012-07-31,50.1,1.8
2012-08-31,49.2,2.0
2012-09-30,49.8,1.9
2012-10-31,50.2,1.7
2012-11-30,50.6,2.0
2012-12-31,50.6,2.5
2013-01-31,50.4,2.0305
2013-02-28,50.1,3.2198
2013-03-31,50.9,2.0696
2013-04-30,50.6,2.3861
2013-05-31,50.8,2.0981
2013-06-30,50.1,2.6684
2013-07-31,50.3,2.6741
2013-08-31,51.0,2.5666
2013-09-30,51.1,3.0519
2013-10-31,51.4,3.2058
2013-11-30,51.4,3.018
2013-12-31,51.0,2.4987
2014-01-31,50.5,2.4861
2014-02-28,50.2,1.9511
2014-03-31,50.3,2.3848
2014-04-30,50.4,1.8014
2014-05-31,50.8,2.4773
2014-06-30,51.0,2.3361
2014-07-31,51.7,2.2852
2014-08-31,51.1,1.9909
2014-09-30,51.1,1.6275
2014-10-31,50.8,1.6011
2014-11-30,50.3,1.4393
2014-12-31,50.1,1.5056
2015-01-31,49.8,0.7638
2015-02-28,49.9,1.4311
2015-03-31,50.1,1.3758
2015-04-30,50.1,1.5091
2015-05-31,50.2,1.2308
2015-06-30,50.2,1.3909
2015-07-31,50.0,1.6473
2015-08-31,49.7,1.9554
2015-09-30,49.8,1.5956
2015-10-31,49.8,1.2674
2015-11-30,49.6,1.4856
2015-12-31,49.7,1.6
2016-01-31,49.4,1.8
2016-02-29,49.0,2.3
2016-03-31,50.2,2.301391
2016-04-30,50.1,2.327865
2016-05-31,50.1,2.038999
2016-06-30,50.0,1.879503
2016-07-31,49.9,1.765113
2016-08-31,50.4,1.339773
2016-09-30,50.4,1.920226
2016-10-31,51.2,2.095947
2016-11-30,51.7,2.252258
2016-12-31,51.4,2.076545
2017-01-31,51.3,2.549055
2017-02-28,51.6,0.8
2017-03-31,51.8,0.9
2017-04-30,51.2,1.2
2017-05-31,51.2,1.5
2017-06-30,51.7,1.5
2017-07-31,51.4,1.4
2017-08-31,51.7,1.8
2017-09-30,52.4,1.6
2017-10-31,51.6,1.9
2017-11-30,51.8,1.7
2017-12-31,51.6,1.8
2018-01-31,51.3,1.5
2018-02-28,50.3,2.9
2018-03-31,51.5,2.1
2018-04-30,51.4,1.8
2018-05-31,51.9,1.8
2018-06-30,51.5,1.9
2018-07-31,51.2,2.1
2018-08-31,51.3,2.3
2018-09-30,50.8,2.5
2018-10-31,50.2,2.5
2018-11-30,50.0,2.2
2018-12-31,49.4,1.9
2019-01-31,49.5,1.7
2019-02-28,49.2,1.5
2019-03-31,50.5,2.3
2019-04-30,50.1,2.5
2019-05-31,49.4,2.7
2019-06-30,49.4,2.7
2019-07-31,49.7,2.8
2019-08-31,49.5,2.8
2019-09-30,49.8,3.0
2019-10-31,49.3,3.8
2019-11-30,50.2,4.5
2019-12-31,50.2,4.5
2020-01-31,50.0,5.4
2020-02-29,35.7,5.2
2020-03-31,52.0,4.3
2020-04-30,50.8,3.3
2020-05-31,50.6,2.4
2020-06-30,50.9,2.5
2020-07-31,51.1,2.7
2020-08-31,51.0,2.4
2020-09-30,51.5,1.7
2020-10-31,51.4,0.5
2020-11-30,52.1,-0.5
